customer_id,first_name,last_name,email,birth_date,registration_date,city,country
1,FirstName1,LastName1,user1@example.com,,,City99,Country16
2,FirstName2,LastName2,user2@example.com,,,City46,Country14
3,FirstName3,LastName3,user3@example.com,,,City68,Country7
4,FirstName4,LastName4,user4@example.com,,,City57,Country10
5,FirstName5,LastName5,user5@example.com,,,City95,Country13
6,FirstName6,LastName6,user6@example.com,,,City24,Country11
7,FirstName7,LastName7,user7@example.com,,,City73,Country18
8,FirstName8,LastName8,user8@example.com,,,City60,Country12
9,FirstName9,LastName9,user9@example.com,,,City3,Country8
10,FirstName10,LastName10,user10@example.com,,,City19,Country15
11,FirstName11,LastName11,user11@example.com,,,City13,Country9
12,FirstName12,LastName12,user12@example.com,,,City49,Country11
13,FirstName13,LastName13,user13@example.com,,,City51,Country1
14,FirstName14,LastName14,user14@example.com,,,City67,Country4
15,FirstName15,LastName15,user15@example.com,,,City51,Country19
16,FirstName16,LastName16,user16@example.com,,,City58,Country4
17,FirstName17,LastName17,user17@example.com,,,City47,Country1
18,FirstName18,LastName18,user18@example.com,,,City86,Country15
19,FirstName19,LastName19,user19@example.com,,,City91,Country14
20,FirstName20,LastName20,user20@example.com,,,City88,Country16
21,FirstName21,LastName21,user21@example.com,,,City27,Country15
22,FirstName22,LastName22,user22@example.com,,,City33,Country3
23,FirstName23,LastName23,user23@example.com,,,City18,Country0
24,FirstName24,LastName24,user24@example.com,,,City39,Country6
25,FirstName25,LastName25,user25@example.com,,,City2,Country8
26,FirstName26,LastName26,user26@example.com,,,City53,Country14
27,FirstName27,LastName27,user27@example.com,,,City94,Country12
28,FirstName28,LastName28,user28@example.com,,,City25,Country17
29,FirstName29,LastName29,user29@example.com,,,City53,Country5
30,FirstName30,LastName30,user30@example.com,,,City18,Country1
31,FirstName31,LastName31,user31@example.com,,,City73,Country1
32,FirstName32,LastName32,user32@example.com,,,City10,Country17
33,FirstName33,LastName33,user33@example.com,,,City55,Country13
34,FirstName34,LastName34,user34@example.com,,,City41,Country3
35,FirstName35,LastName35,user35@example.com,,,City69,Country8
36,FirstName36,LastName36,user36@example.com,,,City71,Country9
37,FirstName37,LastName37,user37@example.com,,,City37,Country2
38,FirstName38,LastName38,user38@example.com,,,City67,Country3
39,FirstName39,LastName39,user39@example.com,,,City20,Country15
40,FirstName40,LastName40,user40@example.com,,,City74,Country8
41,FirstName41,LastName41,user41@example.com,,,City21,Country12
42,FirstName42,LastName42,user42@example.com,,,City93,Country13
43,FirstName43,LastName43,user43@example.com,,,City55,Country14
44,FirstName44,LastName44,user44@example.com,,,City37,Country14
45,FirstName45,LastName45,user45@example.com,,,City93,Country14
46,FirstName46,LastName46,user46@example.com,,,City24,Country8
47,FirstName47,LastName47,user47@example.com,,,City73,Country7
48,FirstName48,LastName48,user48@example.com,,,City65,Country14
49,FirstName49,LastName49,user49@example.com,,,City76,Country2
50,FirstName50,LastName50,user50@example.com,,,City13,Country11
51,FirstName51,LastName51,user51@example.com,,,City51,Country12
52,FirstName52,LastName52,user52@example.com,,,City71,Country16
53,FirstName53,LastName53,user53@example.com,,,City50,Country19
54,FirstName54,LastName54,user54@example.com,,,City24,Country9
55,FirstName55,LastName55,user55@example.com,,,City27,Country3
56,FirstName56,LastName56,user56@example.com,,,City27,Country10
57,FirstName57,LastName57,user57@example.com,,,City93,Country3
58,FirstName58,LastName58,user58@example.com,,,City71,Country11
59,FirstName59,LastName59,user59@example.com,,,City92,Country11
60,FirstName60,LastName60,user60@example.com,,,City27,Country10
61,FirstName61,LastName61,user61@example.com,,,City84,Country5
62,FirstName62,LastName62,user62@example.com,,,City66,Country19
63,FirstName63,LastName63,user63@example.com,,,City66,Country2
64,FirstName64,LastName64,user64@example.com,,,City43,Country11
65,FirstName65,LastName65,user65@example.com,,,City17,Country18
66,FirstName66,LastName66,user66@example.com,,,City35,Country17
67,FirstName67,LastName67,user67@example.com,,,City48,Country19
68,FirstName68,LastName68,user68@example.com,,,City0,Country5
69,FirstName69,LastName69,user69@example.com,,,City1,Country10
70,FirstName70,LastName70,user70@example.com,,,City93,Country17
71,FirstName71,LastName71,user71@example.com,,,City60,Country12
72,FirstName72,LastName72,user72@example.com,,,City75,Country5
73,FirstName73,LastName73,user73@example.com,,,City65,Country2
74,FirstName74,LastName74,user74@example.com,,,City47,Country12
75,FirstName75,LastName75,user75@example.com,,,City0,Country15
76,FirstName76,LastName76,user76@example.com,,,City74,Country19
77,FirstName77,LastName77,user77@example.com,,,City93,Country1
78,FirstName78,LastName78,user78@example.com,,,City48,Country12
79,FirstName79,LastName79,user79@example.com,,,City72,Country2
80,FirstName80,LastName80,user80@example.com,,,City71,Country1
81,FirstName81,LastName81,user81@example.com,,,City34,Country1
82,FirstName82,LastName82,user82@example.com,,,City27,Country3
83,FirstName83,LastName83,user83@example.com,,,City41,Country5
84,FirstName84,LastName84,user84@example.com,,,City10,Country9
85,FirstName85,LastName85,user85@example.com,,,City18,Country2
86,FirstName86,LastName86,user86@example.com,,,City58,Country5
87,FirstName87,LastName87,user87@example.com,,,City34,Country1
88,FirstName88,LastName88,user88@example.com,,,City34,Country19
89,FirstName89,LastName89,user89@example.com,,,City2,Country4
90,FirstName90,LastName90,user90@example.com,,,City41,Country1
91,FirstName91,LastName91,user91@example.com,,,City79,Country9
92,FirstName92,LastName92,user92@example.com,,,City33,Country6
93,FirstName93,LastName93,user93@example.com,,,City33,Country19
94,FirstName94,LastName94,user94@example.com,,,City99,Country6
95,FirstName95,LastName95,user95@example.com,,,City76,Country11
96,FirstName96,LastName96,user96@example.com,,,City91,Country19
97,FirstName97,LastName97,user97@example.com,,,City68,Country13
98,FirstName98,LastName98,user98@example.com,,,City72,Country16
